,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,18,0,0,0,0,0,0,0,0
legato,1,15,2,0,0,0,0,0,0
tapping,0,1,17,0,0,0,0,0,0
sweep picking,0,2,7,0,0,0,0,0,0
vibrato,0,0,0,0,7,2,0,0,0
hammer on,0,0,0,0,0,0,9,0,0
pull off,0,0,0,0,0,9,0,0,0
slide,0,1,0,0,0,1,7,0,0
bend,0,0,0,0,1,0,0,0,8
