,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,16,2,0,0,0,0,0,0,0
legato,0,14,4,0,0,0,0,0,0
tapping,1,3,13,0,0,0,1,0,0
sweep picking,5,0,1,3,0,0,0,0,0
vibrato,0,0,0,0,6,2,0,1,0
hammer on,0,0,0,0,1,0,8,0,0
pull off,0,0,0,0,1,8,0,0,0
slide,0,0,3,0,0,0,0,6,0
bend,0,2,1,0,0,0,0,0,6
