fold,n_train,n_test,accuracy,f1_macro,best_C,best_gamma,best_cv_f1_macro
fold_0,441,108,0.5925925925925926,0.5470923412099882,1000,0.001,0.9229890211182145
fold_1,441,108,0.6018518518518519,0.4801352154293331,50,0.001,0.9186439947151124
fold_2,441,108,0.6481481481481481,0.6322360344611093,50,0.001,0.9208537386459132
fold_3,441,108,0.7222222222222222,0.6847908952323214,50,0.001,0.9066619616726556
fold_4,441,108,0.6574074074074074,0.6340155945419103,100,0.001,0.9075312304942887
