,precision,recall,f1-score,support
alternate picking,0.7272727272727273,0.8888888888888888,0.8,18.0
legato,0.6666666666666666,0.7777777777777778,0.717948717948718,18.0
tapping,0.5909090909090909,0.7222222222222222,0.65,18.0
sweep picking,1.0,0.3333333333333333,0.5,9.0
vibrato,0.75,0.6666666666666666,0.7058823529411765,9.0
hammer on,0.0,0.0,0.0,9.0
pull off,0.0,0.0,0.0,9.0
slide,0.8571428571428571,0.6666666666666666,0.75,9.0
bend,1.0,0.6666666666666666,0.8,9.0
accuracy,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
macro avg,0.6213323713323713,0.5246913580246914,0.5470923412099882,108.0
weighted avg,0.6314033189033189,0.5925925925925926,0.5909816490698844,108.0
