,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,87,3,0,0,0,0,0,0,0
legato,3,69,17,1,0,0,0,0,0
tapping,3,16,69,0,0,0,1,1,0
sweep picking,5,2,11,26,0,0,1,0,0
vibrato,0,0,0,0,31,8,5,1,0
hammer on,0,0,0,0,1,2,42,0,0
pull off,0,1,0,0,1,41,2,0,0
slide,0,1,6,0,0,10,7,21,0
bend,0,2,1,0,1,0,0,0,41
