,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,27,0,0,0,0,0,0,0,0
legato,2,24,0,1,0,0,0,0,0
tapping,0,9,18,0,0,0,0,0,0
sweep picking,0,0,1,11,0,0,0,0,0
vibrato,0,1,1,0,16,0,0,0,0
hammer on,0,0,0,0,0,17,1,0,0
pull off,0,0,0,0,0,5,13,0,0
slide,0,0,0,0,0,0,0,18,0
bend,0,0,0,0,0,0,0,0,18
