,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,25,1,0,0,0,1,0,0,0
legato,0,19,8,0,0,0,0,0,0
tapping,0,2,24,0,0,0,0,1,0
sweep picking,0,1,0,11,0,0,0,0,0
vibrato,0,0,0,0,15,2,1,0,0
hammer on,0,0,0,0,0,10,8,0,0
pull off,0,0,0,0,0,4,14,0,0
slide,0,0,0,0,0,4,2,12,0
bend,0,0,0,0,0,0,0,0,18
