fold,n_train,n_test,accuracy,f1_macro,best_C,best_gamma,best_cv_f1_macro
dc-modern,366,183,0.8524590163934426,0.85026244681399,1000,0.0001,0.918487202262946
sl100,366,183,0.8087431693989071,0.8154319204109987,100,0.001,0.9098853017114784
plexiglass,366,183,0.8852459016393442,0.8930523938056408,50,0.001,0.9106291298659943
