,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,90,0,0,0,0,0,0,0,0
legato,3,37,48,1,0,0,0,1,0
tapping,0,23,64,3,0,0,0,0,0
sweep picking,1,0,1,40,1,0,1,1,0
vibrato,0,0,0,0,41,2,1,1,0
hammer on,0,0,0,0,0,20,25,0,0
pull off,0,0,0,0,0,26,19,0,0
slide,0,0,0,0,0,0,0,45,0
bend,0,0,0,0,0,0,0,1,44
