,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,18,0,0,0,0,0,0,0,0
legato,2,3,12,0,0,0,0,1,0
tapping,0,5,12,1,0,0,0,0,0
sweep picking,1,0,1,7,0,0,0,0,0
vibrato,0,0,0,0,9,0,0,0,0
hammer on,0,0,0,0,0,2,7,0,0
pull off,0,0,0,0,0,3,6,0,0
slide,0,0,0,0,0,0,0,9,0
bend,0,0,0,0,0,0,0,0,9
