,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,81,0,0,0,0,0,0,0,0
legato,1,48,29,3,0,0,0,0,0
tapping,0,14,67,0,0,0,0,0,0
sweep picking,0,1,0,34,0,0,0,1,0
vibrato,0,0,0,0,51,1,0,2,0
hammer on,0,0,0,0,0,29,25,0,0
pull off,0,0,0,0,0,16,37,1,0
slide,0,0,0,0,0,0,0,54,0
bend,0,0,0,0,0,0,0,3,51
