,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,27,0,0,0,0,0,0,0,0
legato,0,18,9,0,0,0,0,0,0
tapping,0,2,25,0,0,0,0,0,0
sweep picking,0,0,0,11,0,0,0,1,0
vibrato,0,0,0,0,18,0,0,0,0
hammer on,0,0,0,0,0,7,11,0,0
pull off,0,0,0,0,0,0,18,0,0
slide,0,0,0,0,0,0,0,18,0
bend,0,0,0,0,0,0,0,0,18
