,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,27,0,0,0,0,0,0,0,0
legato,0,17,10,0,0,0,0,0,0
tapping,0,7,20,0,0,0,0,0,0
sweep picking,0,1,0,11,0,0,0,0,0
vibrato,0,0,0,0,16,0,0,2,0
hammer on,0,0,0,0,0,4,14,0,0
pull off,0,0,0,0,0,1,16,1,0
slide,0,0,0,0,0,0,0,18,0
bend,0,0,0,0,0,0,0,2,16
