fold,n_seeds,seeds,n_train_files,n_test_files,n_train_segments,n_val_segments,n_test_segments,n_test_files_aggregated,best_epoch_mean,best_epoch_std,best_val_loss_mean,best_val_loss_std,mfcc_fixed_frames,mfcc_n_mfcc,mfcc_n_fft,mfcc_hop_length,mfcc_center,mfcc_use_cmvn,pool_kernel,conv_kernels,pool_kernels,conv_padding,model_flat_dim,model_params,train_seconds_mean,train_seconds_std,accuracy_mean,accuracy_std,repo_f1_mean,repo_f1_std,sklearn_macro_f1_mean,sklearn_macro_f1_std,confusion_matrix_note,model_path
dc-modern,5,"[0,1,2,3,4]",366,183,6561,1641,3886,183,50.0,0.0,0.19464605327791093,0.022436353773969256,24,26,4096,1024,True,False,,"[3,3,2]","[3,3,2]",valid,512,118985,169.90209312438964,8.52485602648468,0.7234972677595628,0.03396780386430611,0.7757920921303573,0.025896192180837368,0.7140930383367389,0.03279604574455804,summed_over_seeds_for_visualization,
sl100,5,"[0,1,2,3,4]",366,183,6251,1563,4274,183,50.0,0.0,0.1999051077908378,0.019193761635632637,24,26,4096,1024,True,False,,"[3,3,2]","[3,3,2]",valid,512,118985,176.71983513832092,21.740520737827847,0.7617486338797814,0.04746240601225895,0.738477277047695,0.028992221669165652,0.6938822950526986,0.04330694685716475,summed_over_seeds_for_visualization,
plexiglass,5,"[0,1,2,3,4]",366,183,6528,1632,3928,183,50.0,0.0,0.1913419044928078,0.022988600070671057,24,26,4096,1024,True,False,,"[3,3,2]","[3,3,2]",valid,512,118985,354.83901114463805,268.29989277846727,0.771584699453552,0.059299059961751006,0.808440735700296,0.040251860513394855,0.767832527406675,0.06203278766931963,summed_over_seeds_for_visualization,
