,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,135,0,0,0,0,0,0,0,0
legato,0,118,0,1,11,0,0,5,0
tapping,0,64,45,1,1,1,7,16,0
sweep picking,0,1,0,42,2,0,0,15,0
vibrato,0,0,0,0,84,5,0,1,0
hammer on,0,3,0,0,0,55,5,27,0
pull off,0,0,0,1,0,6,56,27,0
slide,0,0,0,0,0,0,0,90,0
bend,0,0,0,0,0,0,0,9,81
