,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,135,0,0,0,0,0,0,0,0
legato,0,79,6,0,4,1,0,45,0
tapping,0,0,103,0,2,5,0,25,0
sweep picking,0,0,0,31,1,1,0,27,0
vibrato,0,0,0,0,65,0,0,25,0
hammer on,0,0,0,0,0,57,0,33,0
pull off,0,0,0,0,0,33,19,38,0
slide,0,0,0,0,0,0,0,90,0
bend,0,0,0,0,0,0,0,7,83
