,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,131,0,1,0,3,0,0,0,0
legato,0,75,47,0,12,0,1,0,0
tapping,0,2,130,0,0,0,3,0,0
sweep picking,0,0,24,0,8,0,28,0,0
vibrato,0,0,3,0,84,0,3,0,0
hammer on,0,0,3,0,0,29,58,0,0
pull off,0,0,2,0,0,0,88,0,0
slide,0,0,3,0,0,4,11,72,0
bend,0,0,1,0,0,0,0,1,88
