,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,401,0,1,0,3,0,0,0,0
legato,0,272,53,1,27,1,1,50,0
tapping,0,66,278,1,3,6,10,41,0
sweep picking,0,1,24,73,11,1,28,42,0
vibrato,0,0,3,0,233,5,3,26,0
hammer on,0,3,3,0,0,141,63,60,0
pull off,0,0,2,1,0,39,163,65,0
slide,0,0,3,0,0,4,11,252,0
bend,0,0,1,0,0,0,0,17,252
