,precision,recall,f1-score,support
alternate picking,0.9,1.0,0.9473684210526315,18.0
legato,0.6086956521739131,0.7777777777777778,0.6829268292682927,18.0
tapping,0.6666666666666666,0.3333333333333333,0.4444444444444444,18.0
sweep picking,0.9,1.0,0.9473684210526315,9.0
vibrato,1.0,0.4444444444444444,0.6153846153846154,9.0
hammer on,0.1,0.1111111111111111,0.10526315789473684,9.0
pull off,0.0,0.0,0.0,9.0
slide,0.9,1.0,0.9473684210526315,9.0
bend,1.0,1.0,1.0,9.0
accuracy,0.6481481481481481,0.6481481481481481,0.6481481481481481,0.6481481481481481
macro avg,0.6750402576489534,0.6296296296296295,0.6322360344611093,108.0
weighted avg,0.68756038647343,0.6481481481481481,0.6470720004096128,108.0
