fold,n_train,n_test,best_C,best_gamma,best_cv_f1_macro,test_accuracy,test_f1_macro
fold_0,441,108,1000,0.001,0.9094763956069499,0.5925925925925926,0.5470923412099882
fold_1,441,108,50,0.001,0.9290079874569338,0.6018518518518519,0.4801352154293331
fold_2,441,108,50,0.001,0.9257865076183378,0.6481481481481481,0.6322360344611093
fold_3,441,108,100,0.001,0.9011756865622049,0.7037037037037037,0.6607131054499475
fold_4,441,108,1000,0.001,0.9088514548406413,0.6574074074074074,0.6232131254061078
