Experiment,Split,Method,Accuracy Mean (%),Accuracy Std (%),Macro F1 Mean (%),Macro F1 Std (%)
Experiment 1,folds,CNN,85.92592592592594,2.3715274953454992,84.92356640939896,3.6616596698271406
Experiment 2,guitars,CNN,88.3424408014572,3.0370367942683165,85.77642668981817,3.6552641427740498
Experiment 3,amplifiers,CNN,91.62112932604737,4.894363877065357,91.21549304969162,5.117884646873029
