,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,25,2,0,0,0,0,0,0,0
legato,0,19,5,1,2,0,0,0,0
tapping,0,10,16,0,0,0,0,1,0
sweep picking,1,0,1,10,0,0,0,0,0
vibrato,0,0,0,0,15,0,3,0,0
hammer on,0,0,0,0,0,13,4,1,0
pull off,0,0,0,0,0,8,10,0,0
slide,0,0,0,0,0,0,0,18,0
bend,0,0,0,0,0,0,0,0,18
