,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,78,2,0,0,1,0,0,0,0
legato,1,67,9,2,2,0,0,0,0
tapping,1,19,60,0,0,0,0,1,0
sweep picking,1,0,1,34,0,0,0,0,0
vibrato,0,0,1,0,49,0,4,0,0
hammer on,0,0,0,0,1,21,31,1,0
pull off,0,0,0,0,0,17,36,1,0
slide,0,0,0,0,0,0,1,53,0
bend,0,0,0,0,0,0,0,0,54
