fold,n_train,n_test,accuracy,f1_macro,best_C,best_gamma,best_cv_f1_macro
carvin,366,183,0.7868852459016393,0.7959779553755584,1000,0.001,0.8909242815849808
palm-bay,366,183,0.825136612021858,0.8056062389815011,50,0.001,0.9170522941111177
rwg,366,183,0.8579234972677595,0.8510373384736203,100,0.001,0.8818066127918659
