,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,135,0,0,0,0,0,0,0,0
legato,0,129,5,0,0,0,1,0,0
tapping,0,11,82,0,0,1,34,7,0
sweep picking,0,0,0,58,0,0,2,0,0
vibrato,0,0,0,0,90,0,0,0,0
hammer on,0,9,0,0,1,27,51,2,0
pull off,0,6,0,0,15,1,64,4,0
slide,0,0,0,0,0,0,0,90,0
bend,0,0,0,0,0,0,0,0,90
