,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,135,0,0,0,0,0,0,0,0
legato,0,122,2,0,0,6,0,5,0
tapping,0,0,130,0,1,4,0,0,0
sweep picking,0,5,1,40,12,2,0,0,0
vibrato,0,6,0,0,76,8,0,0,0
hammer on,0,0,0,10,1,41,13,25,0
pull off,0,0,0,6,0,50,25,9,0
slide,0,0,0,0,0,0,0,90,0
bend,0,0,0,0,0,0,0,5,85
