,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,405,0,0,0,0,0,0,0,0
legato,0,338,14,8,22,10,3,10,0
tapping,0,32,319,0,1,10,36,7,0
sweep picking,0,5,1,156,12,2,4,0,0
vibrato,0,6,0,0,237,20,7,0,0
hammer on,0,9,0,10,18,122,74,36,1
pull off,0,6,1,6,15,93,111,38,0
slide,0,0,0,0,0,19,0,251,0
bend,0,0,0,0,0,0,0,7,263
