,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,135,0,0,0,0,0,0,0,0
legato,0,87,7,8,22,4,2,5,0
tapping,0,21,107,0,0,5,2,0,0
sweep picking,0,0,0,58,0,0,2,0,0
vibrato,0,0,0,0,71,12,7,0,0
hammer on,0,0,0,0,16,54,10,9,1
pull off,0,0,1,0,0,42,22,25,0
slide,0,0,0,0,0,19,0,71,0
bend,0,0,0,0,0,0,0,2,88
