,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,450,0,0,0,0,0,0,0,0
legato,0,420,9,0,19,1,1,0,0
tapping,0,11,424,0,2,6,5,2,0
sweep picking,0,4,0,198,3,8,12,0,0
vibrato,0,0,0,2,212,11,0,0,0
hammer on,0,0,0,0,0,207,18,0,0
pull off,0,0,0,0,0,23,202,0,0
slide,0,0,0,0,0,0,0,225,0
bend,0,0,0,0,0,0,0,1,224
