,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,90,0,0,0,0,0,0,0,0
legato,0,80,0,0,10,0,0,0,0
tapping,0,2,83,0,0,3,2,0,0
sweep picking,0,3,0,24,3,7,8,0,0
vibrato,0,0,0,0,45,0,0,0,0
hammer on,0,0,0,0,0,35,10,0,0
pull off,0,0,0,0,0,2,43,0,0
slide,0,0,0,0,0,0,0,45,0
bend,0,0,0,0,0,0,0,0,45
