,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,90,0,0,0,0,0,0,0,0
legato,0,83,7,0,0,0,0,0,0
tapping,0,3,87,0,0,0,0,0,0
sweep picking,0,0,0,44,0,0,1,0,0
vibrato,0,0,0,0,45,0,0,0,0
hammer on,0,0,0,0,0,38,7,0,0
pull off,0,0,0,0,0,2,43,0,0
slide,0,0,0,0,0,0,0,45,0
bend,0,0,0,0,0,0,0,0,45
