,alternate picking,legato,tapping,sweep picking,vibrato,hammer on,pull off,slide,bend
alternate picking,90,0,0,0,0,0,0,0,0
legato,0,88,0,0,1,1,0,0,0
tapping,0,2,85,0,0,0,1,2,0
sweep picking,0,0,0,44,0,0,1,0,0
vibrato,0,0,0,2,39,4,0,0,0
hammer on,0,0,0,0,0,44,1,0,0
pull off,0,0,0,0,0,8,37,0,0
slide,0,0,0,0,0,0,0,45,0
bend,0,0,0,0,0,0,0,0,45
