experiment_id,fold,seed,accuracy,repo_f1,sklearn_macro_f1,train_seconds,model_params
experiment_1,fold_0,0,0.9629629629629629,0.9620361458667522,0.9580409356725146,207.93774271011353,118985
experiment_1,fold_0,1,0.9722222222222222,0.9682933198822312,0.9668326589895216,188.46328115463257,118985
experiment_1,fold_0,2,0.9351851851851852,0.934254263072675,0.9304147673600718,186.8743290901184,118985
experiment_1,fold_0,3,0.9444444444444444,0.9331077729963144,0.9277545716142206,185.52674293518066,118985
experiment_1,fold_0,4,0.9722222222222222,0.9675704412546517,0.9637021475256771,193.0053789615631,118985
experiment_1,fold_1,0,0.8981481481481481,0.8966106326665569,0.8833143464722412,192.92306399345398,118985
experiment_1,fold_1,1,0.8888888888888888,0.8829183049366536,0.8550700280112046,213.542160987854,118985
experiment_1,fold_1,2,0.9074074074074074,0.9043502622677047,0.8950869880963658,205.19598078727722,118985
experiment_1,fold_1,3,0.9166666666666666,0.913451271884793,0.8938246536072624,203.4527130126953,118985
experiment_1,fold_1,4,0.9259259259259259,0.9239390109141216,0.9177580942286825,183.91282987594604,118985
experiment_1,fold_2,0,0.9074074074074074,0.9090858662761512,0.8979271708683473,184.84492897987366,118985
experiment_1,fold_2,1,0.9629629629629629,0.9581543882832287,0.9510398098633392,189.97161602973938,118985
experiment_1,fold_2,2,0.9259259259259259,0.9291907268298499,0.9202950558213716,202.3975579738617,118985
experiment_1,fold_2,3,0.9629629629629629,0.9621204756812806,0.960659819483349,194.16484785079956,118985
experiment_1,fold_2,4,0.9537037037037037,0.9466000072455892,0.9431509055864061,217.47767615318298,118985
experiment_1,fold_3,0,0.9722222222222222,0.9734532672600735,0.972420703174057,203.61209297180176,118985
experiment_1,fold_3,1,0.9537037037037037,0.9565656038924449,0.9536317645966768,198.97713589668274,118985
experiment_1,fold_3,2,0.9814814814814815,0.9837104646003676,0.9823529411764707,207.51520895957947,118985
experiment_1,fold_3,3,0.9814814814814815,0.9837104646003676,0.9823529411764707,194.0496940612793,118985
experiment_1,fold_3,4,0.9814814814814815,0.9826912339475155,0.9819548872180452,193.5920341014862,118985
experiment_1,fold_4,0,0.9629629629629629,0.9652024117140395,0.9626543209876542,197.6939561367035,118985
experiment_1,fold_4,1,0.9814814814814815,0.9822605896231615,0.9814384928936012,206.09026384353638,118985
experiment_1,fold_4,2,0.9444444444444444,0.9511571006933491,0.9505408401177236,201.56641578674316,118985
experiment_1,fold_4,3,0.9629629629629629,0.9615583147976087,0.9575245413480707,205.82764792442322,118985
experiment_1,fold_4,4,0.9629629629629629,0.9629629629629629,0.9629629629629629,202.87718415260315,118985
